LawID,URI,LegislatorID,LegislatorName,LegislatorTitle,LegislatorReligion,LegislatorRuleBegin,LegislatorRuleEnd,TerID,TerShortLabel,TerSeq,TerLabel,TerOrg,TerOrgID,TerType1,TerType2,TerReligion,TerDistrict,TerPublished,TerEditor,TerLitList,TerAbbrevList,TerPreface,Datum,Date1,Date,Year,Month,Day,Form,Scope_needscleaning,Scope_clean 2,Scope_clean 3,Scope_clean 4,Scope_clean 5,Scope_clean 6,Scope_clean 7,Scope_clean 8,Scope_clean 9,Scope_clean 10,Scope_clean 11,Scope_clean 12,Scope_clean 13,RelatesTo,Publication,Archive,StAB,Archive_folder,Pages,Remarks,Title,Facs,URL,Matters_level2_num01,Matters_level2_01,Matters_level3_01,Matters_level4_01,Matters_01_addinfo,Matters_level2_num02,Matters_level2_02,Matters_level3_02,Matters_level4_02,Matters_02_addinfo,Matters_level2_num03,Matters_level2_03,Matters_level3_03,Matters_level4_03,Matters_03_addinfo,Matters_level2_num04,Matters_level2_04,Matters_level3_04,Matters_level4_04,Matters_04_addinfo,Matters_level2_num05,Matters_level2_05,Matters_level3_05,Matters 5 5,Matters_level4_05,Matters_level2_num06,Matters_level2_06,Matters_level3_06,Matters_level4_06,Matters_06_addinfo,Matters_level2_num07,Matters_level2_07,Matters_level3_07,Matters_level4_07,Matters_07_addinfo,Matters_level2_num08,Matters_level2_08,Matters_level3_08,Matters_level4_08,Matters_08_addinfo,Matters_level2_num09,Matters_level2_09,Matters_level3_09,Matters_level4_09,Matters_09_addinfo,Matters_level2_num10,Matters_level2_10,Matters_level3_10,Matters_level4_10,Matters_10_addinfo,Matters_level2_num11,Matters_level2_11,Matters_level3_11,Matters_level4_11,Matters_level2_num12,Matters_level2_12,Matters_level3_12,Matters_level4_12,Matters_level2_num13,Matters_level2_13,Matters_level3_13,Matters_level4_13,Matters_level2_num14,Matters_level2_14,Matters_level3_14,Matters_level4_14,Matters_14_addinfo,Matters_level2_num15,Matters_level2_15,Matters_level3_15,Matters_level4_15,Matters_level2_num16,Matters_level2_16,Matters_level3_16,Matters_level4_16,Matters_level2_num17,Matters_level2_17,Matters_level3_17,Matters_level4_17,Matters_17_addinfo,Matters_level2_num18,Matters_level2_18,Matters_level3_18,Matters_level4_18,Matters_18_addinfo,Matters_level2_num19,Matters_level2_19,Matters_level3_19,Matters_level4_19,Matters_level2_num20,Matters_level2_20,Matters_level3_20,Matters_level4_20,Matters_level2_num21,Matters_level2_21,Matters_level3_21,Matters_level4_21,Matters_level2_num22,Matters_level2_22,Matters_level3_22,Matters_level4_22,Matters_22_addinfo,Matters_level2_num23,Matters_level2_23,Matters_level3_23,Matters_level4_23,Matters_23_addinfo,Matters_level2_num24,Matters_level2_24,Matters_level3_24,Matters_level4_24,Matters_24_addinfo,Matters_level2_num25,Matters_level2_25,Matters_level3_25,Matters_level4_25,Matters_level2_num26,Matters_level2_26,Matters_level3_26,Matters_level4_26,Matters_dirty,Dirty,Controlled,Links,Scope_original
BER.01.001.2766,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.07.20,,1701-07-20T00:00:00Z,1701,7,20,Verordnung,Welsche Gebiete,Erlach,Nidau,,,,,,,,,,,,,"StAB, A I 490, S. 590 f.",StAB,A I 490,S. 590 f.,,"Auff die Wärber fleissig zu achten, [...]",,,2.4,Policey der Verwaltung und Justiz,Amtsführung/Amtsmißbrauch,",Amtleute; Aufgaben; Aufsichtspflicht; Werbungsverbot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2766.03637.0,,2.4,Policey der Verwaltung und Justiz,,Amtsführung/Amtsmißbrauch,,,,,Amtleute; Aufgaben; Aufsichtspflicht; Werbungsverbot,,,,,,)",,,,"Welsche Gebiete, Erlach, Nidau"
BER.01.001.2767,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.07.23,,1701-07-23T00:00:00Z,1701,7,23,Verordnung,Deutsche Gebiete,,,,,,,,,,,,,,,"StAB, A I 490, S. 592",StAB,A I 490,S. 592,,Bätteljegi uff den 27. July 1701.,,,1.3,Randgruppen,Fahrende Leute,",Streifen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2767.03638.0,,1.3,Randgruppen,,Fahrende Leute,,,,,Streifen,,,,,,)",,,,Deutsche Gebiete
BER.01.001.2768,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.08.01,,1701-08-01T00:00:00Z,1701,8,1,Verordnung,,,,,,,,,,,,,,,,"StAB, A I 490, S. 592 f.",StAB,A I 490,S. 592 f.,,Ein allgemeinen Bättag [...] ausschreiben.,,,1.1,Religionsangelegenheiten,Feiertage/Religiöse Feste,",Buß- & Bettag; Fastenzeit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2768.03639.0,,1.1,Religionsangelegenheiten,,Feiertage/Religiöse Feste,,,,,Buß- & Bettag; Fastenzeit,,,,,,)",,,,
BER.01.001.2769,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.08.22,,1701-08-22T00:00:00Z,1701,8,22,Verordnung,,,,,,,,,,,,,,,,"StAB, A I 490, S. 594 f.",StAB,A I 490,S. 594 f.,,Bätteljegi [...].,,,1.3,Randgruppen,Fahrende Leute,",Streifen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2769.03640.0,,1.3,Randgruppen,,Fahrende Leute,,,,,Streifen,,,,,,)",,,,
BER.01.001.2770,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.08.22,,1701-08-22T00:00:00Z,1701,8,22,Verordnung,,,,,,,,,,,,,,,,"StAB, A I 490, S. 595 f.",StAB,A I 490,S. 595 f.,,Abenderung etwelcher oberländischen Jahr- Vieh- Marckten.,,,4.6,Handel und Dienstleistungen,Markt/Messe,",Markttage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2770.03641.0,,4.6,Handel und Dienstleistungen,,Markt/Messe,,,,,Markttage,,,,,,)",,,,
BER.01.001.2771,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.08.26,,1701-08-26T00:00:00Z,1701,8,26,Verordnung,Deutsche Gebiete,,,,,,,,,,,,,,,"StAB, A I 490, S. 596",StAB,A I 490,S. 596,,Langnauwer Marckt [...].,,,4.6,Handel und Dienstleistungen,Markt/Messe,",Markttage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2771.03642.0,,4.6,Handel und Dienstleistungen,,Markt/Messe,,,,,Markttage,,,,,,)",,,,Deutsche Gebiete
BER.01.001.2772,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.08.29,,1701-08-29T00:00:00Z,1701,8,29,Verordnung,14 Ämter,,,,,,,,,,,,,,,"StAB, A I 490, S. 597 f.",StAB,A I 490,S. 597 f.,,Wegen Abstraffung der Hurey- und Ehebruchfähleren den mit lobl. Stand Sollothurn getroffenen Verglich notificieren.,,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Ehebruch,",Hurerei",,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,Unzucht,",Hurerei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2772.03643.1,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Ehebruch,,,,,Hurerei,,,,,,),(BER.01.001.2772.03643.0,,1.5,Sittlichkeit; Ehe- und Familie; Sexualität,,Unzucht,,,,,Hurerei,,,,,,)",,,,14 Ämter
BER.01.001.2773,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.08.31,,1701-08-31T00:00:00Z,1701,8,31,Verordnung,,Oberland,Stadt Bern,Unteraargau,Oberaargau,,,,,,,,,,,"StAB, A I 490, S. 598",StAB,A I 490,S. 598,,Den Viehmarckt zu Oberhasli für heüriges Jahr auff den [...] aussschreiben.,,,4.6,Handel und Dienstleistungen,Markt/Messe,",Markttage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2773.03644.0,,4.6,Handel und Dienstleistungen,,Markt/Messe,,,,,Markttage,,,,,,)",,,,"Ober- & Unteraargau, Oberland, Stadt Bern"
BER.01.001.2774,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.09.06,,1701-09-06T00:00:00Z,1701,9,6,Verordnung,17 Ämter,,,,,,,,,,,,,,,"StAB, A I 490, S. 599 f.",StAB,A I 490,S. 599 f.,,Die Juden auss Ihr Gnd. Territorio bannizieren.,,,1.3,Randgruppen,Juden,",Landesverweisung; Aufenthalt; Verbot; Bedingungen; Einschränkung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2774.03645.0,,1.3,Randgruppen,,Juden,,,,,Landesverweisung; Aufenthalt; Verbot; Bedingungen; Einschränkung,,,,,,)",,,,17 Ämter
BER.01.001.2775,,BER.01.001,Schultheiß und Kleiner und Großer Rat der Stadt Bern,,EV,1528,1798,BER,BER,01,Bern,,,Eidgenössischer Ort,WL,EV,,7,Claudia Schott-Volm,,,,1701.09.16,,1701-09-16T00:00:00Z,1701,9,16,Ordnung,,,,,,,,,,,,,,,,"StAB, A I 490, S. 601-603",StAB,A I 490,S. 601-603,,Die Getreidts Vereüsserung verpiethen.,,,4.6,Handel und Dienstleistungen,Markt/Messe,",Ausfuhr; Verbot; Getreide; Aufsicht; Privilegien",,4.6,Handel und Dienstleistungen,Versorgung,",Ausfuhr; Verbot; Getreide; Aufsicht; Privilegien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(BER.01.001.2775.03646.1,,4.6,Handel und Dienstleistungen,,Markt/Messe,,,,,Ausfuhr; Verbot; Getreide; Aufsicht; Privilegien,,,,,,),(BER.01.001.2775.03646.0,,4.6,Handel und Dienstleistungen,,Versorgung,,,,,Ausfuhr; Verbot; Getreide; Aufsicht; Privilegien,,,,,,)",,,,
